GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
i18n Maven Plugin,io.wcm.maven.plugins.i18n.readers,JsonI18nReader,16,69,1,4,3,16,1,5,0,3
i18n Maven Plugin,io.wcm.maven.plugins.i18n.readers,PropertiesI18nReader,0,48,0,2,0,10,0,3,0,2
i18n Maven Plugin,io.wcm.maven.plugins.i18n.readers,XmlI18nReader,9,69,0,4,2,16,0,5,0,3
i18n Maven Plugin,io.wcm.maven.plugins.i18n,JsonUtil,0,51,0,0,0,13,0,3,0,3
i18n Maven Plugin,io.wcm.maven.plugins.i18n,OutputFormat,0,59,0,0,0,9,0,3,0,3
i18n Maven Plugin,io.wcm.maven.plugins.i18n,SlingI18nMap,0,435,2,32,0,89,2,29,0,14
i18n Maven Plugin,io.wcm.maven.plugins.i18n,TransformMojo,104,298,19,22,20,72,16,19,2,11
i18n Maven Plugin,io.wcm.maven.plugins.i18n_maven_plugin,HelpMojo,770,0,110,0,155,0,71,0,16,0
