GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sling-Initial-Content JSON Strip Comments Maven Plugin,io.wcm.maven.plugins.slinginitialcontentjsonstripcomments,JsonStripCommentsMojo,29,65,2,4,8,18,2,7,0,6
Sling-Initial-Content JSON Strip Comments Maven Plugin,io.wcm.maven.plugins.slinginitialcontentjsonstripcomments,JsonCommentStripper,0,65,0,0,0,18,0,4,0,4
Sling-Initial-Content JSON Strip Comments Maven Plugin,io.wcm.maven.plugins.sling_initial_content_json_strip_comments_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
