GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AEM Sling Models Extensions,io.wcm.sling.models.injectors.impl,AemObjectInjector.AemObjectAnnotationProcessor,15,0,0,0,5,0,3,0,3,0
AEM Sling Models Extensions,io.wcm.sling.models.injectors.impl,AemObjectInjector,35,414,19,75,14,117,18,52,1,22
AEM Sling Models Extensions,io.wcm.sling.models.injectors.impl,SlingObjectOverlayInjector.SlingObjectAnnotationProcessor,15,0,0,0,5,0,3,0,3,0
AEM Sling Models Extensions,io.wcm.sling.models.injectors.impl,SlingObjectOverlayInjector,24,141,7,37,9,39,7,22,1,6
AEM Sling Models Extensions,io.wcm.sling.models.injectors.impl,ModelsImplConfiguration,0,11,0,0,0,4,0,3,0,3
