GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Site API Generic Edit Handler Extension,io.wcm.siteapi.genericedit.handler.link,SiteApiInternalLinkInheritGenericEditSelectorLinkPreProcessor,2,69,2,12,1,17,2,11,0,6
Site API Generic Edit Handler Extension,io.wcm.siteapi.genericedit.handler.impl.inspector,MediaValueInspectorService,0,37,1,7,0,10,1,6,0,3
Site API Generic Edit Handler Extension,io.wcm.siteapi.genericedit.handler.impl.inspector,LinkValueInspectorService,0,37,1,7,0,10,1,6,0,3
Site API Generic Edit Handler Extension,io.wcm.siteapi.genericedit.handler.impl.inspector,LinkValueImpl,0,18,0,0,0,6,0,4,0,4
Site API Generic Edit Handler Extension,io.wcm.siteapi.genericedit.handler.impl.inspector,MediaValueImpl,5,30,1,1,2,10,2,5,1,5
