GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Clientlibs UI Extensions,io.wcm.wcm.ui.clientlibs.components,HtmlTagBuilder,0,100,0,6,0,24,0,7,0,4
WCM Clientlibs UI Extensions,io.wcm.wcm.ui.clientlibs.components,RequestIncludedLibraries,0,98,0,12,0,26,0,13,0,7
WCM Clientlibs UI Extensions,io.wcm.wcm.ui.clientlibs.components,IncludeUtil,2,164,4,22,1,35,4,15,0,6
WCM Clientlibs UI Extensions,io.wcm.wcm.ui.clientlibs.components,JSInclude,0,192,0,26,0,38,0,20,0,7
WCM Clientlibs UI Extensions,io.wcm.wcm.ui.clientlibs.components,CSSInclude,0,111,0,8,0,24,0,11,0,7
